Representative Exchange Rates for Selected Currencies for January 2022,,,,,,,,,,,
Currency,3-Jan-22,4-Jan-22,5-Jan-22,6-Jan-22,7-Jan-22,10-Jan-22,11-Jan-22,12-Jan-22,13-Jan-22,14-Jan-22,18-Jan-22
Chinese yuan,NA,6.3751,6.372,6.3742,6.3734,6.3726,6.3726,6.3645,6.3605,6.346,6.3504
Euro(1),1.1355,1.1279,1.1319,1.1315,1.1298,1.1318,1.1336,1.137,1.1463,1.1447,1.1367
Japanese yen,NA,115.42,116.2,116.04,115.89,NA,115.32,115.33,114.66,114,114.54
U.K. pound(1),NA,1.34955,1.3541,1.3537,1.3551,1.35835,1.3584,1.36345,1.3725,1.3723,1.3601
U.S. dollar,1,1,1,1,1,1,1,1,1,1,1
Algerian dinar,138.6713,138.9115,138.856,138.893,139.3305,139.3173,139.4581,NA,139.3972,NA,139.6451
Australian dollar(1),NA,0.7211,0.7232,0.7177,0.7162,0.7193,0.7186,0.7218,0.7291,0.7283,0.7195
Botswana pula(1),NA,NA,0.0848,0.085,0.0855,0.0858,0.0858,0.0862,0.0868,0.0868,0.0864
Brazilian real,5.6303,5.677,5.6622,5.7036,5.6747,5.673,5.6345,5.5605,5.524,5.5343,5.5207
Brunei dollar,1.351,1.3548,1.3557,1.3584,1.3588,1.3556,1.3543,1.3506,1.3463,1.3455,1.3488
Canadian dollar,NA,1.2708,1.2717,1.2741,1.2666,1.2679,1.2606,1.251,1.2484,1.2545,1.2529
Chilean peso,844.69,851.43,852.03,841.63,838.88,831.59,831.39,832.6,826.51,821.87,822
Colombian peso,"3,981.16",NA,"4,084.11","4,042.36","4,039.31","4,043.46","4,043.46",NA,NA,"3,950.40","3,993.65"
Czech koruna,21.86,21.944,21.739,21.679,21.626,21.525,21.538,21.47,21.34,21.4,21.488
Danish krone,6.5506,6.5944,6.5716,6.5747,6.5835,6.5719,6.5635,6.5448,6.4912,6.5007,6.5475
Indian rupee,74.3115,74.5717,74.484,74.4398,74.2939,74.163,73.9319,73.9968,73.9348,74.1157,74.4115
